"id","timestamp","open_price","high_price","low_price","close_price"
1223,2020-12-21 04:00:00.000,23455.54,24102.77,21815,22719.71
1224,2020-12-22 04:00:00.000,22719.88,23837.1,22353.4,23810.79
1225,2020-12-23 04:00:00.000,23810.79,24100,22600,23232.76
1226,2020-12-24 04:00:00.000,23232.39,23794.43,22703.42,23729.2
1227,2020-12-25 04:00:00.000,23728.99,24789.86,23433.6,24712.47
1228,2020-12-26 04:00:00.000,24712.47,26867.03,24500,26493.39
1229,2020-12-27 03:00:00.000,26493.4,28422,25700,26281.66
1230,2020-12-28 03:00:00.000,26281.54,27500,26101,27079.41
1231,2020-12-29 03:00:00.000,27079.42,27410,25880,27385
1232,2020-12-30 03:00:00.000,27385,28996,27320,28875.54
1233,2020-12-31 03:00:00.000,28875.55,29300,27850,28923.63
1234,2021-01-01 03:00:00.000,28923.63,29600,28624.57,29331.69
1235,2021-01-02 03:00:00.000,29331.7,33300,28946.53,32178.33
1236,2021-01-03 03:00:00.000,32176.45,34778.11,31962.99,33000.05
1237,2021-01-04 03:00:00.000,33000.05,33600,28130,31988.71
1238,2021-01-05 03:00:00.000,31989.75,34360,29900,33949.53
1239,2021-01-06 03:00:00.000,33949.53,36939.21,33288,36769.36
1240,2021-01-07 03:00:00.000,36769.36,40365,36300,39432.28
1241,2021-01-08 03:00:00.000,39432.48,41950,36500,40582.81
1242,2021-01-09 03:00:00.000,40586.96,41380,38720,40088.22
1243,2021-01-10 03:00:00.000,40088.22,41350,35111.11,38150.02
1244,2021-01-11 03:00:00.000,38150.02,38264.74,30420,35404.47
1245,2021-01-12 03:00:00.000,35410.37,36628,32531,34051.24
1246,2021-01-13 03:00:00.000,34049.15,37850,32380,37371.38
1247,2021-01-14 03:00:00.000,37371.38,40100,36701.23,39144.5
1248,2021-01-15 03:00:00.000,39145.21,39747.76,34408,36742.22
1249,2021-01-16 03:00:00.000,36737.43,37950,35357.8,35994.98
1250,2021-01-17 03:00:00.000,35994.98,36852.5,33850,35828.61
1251,2021-01-18 03:00:00.000,35824.99,37469.83,34800,36631.27
1252,2021-01-19 03:00:00.000,36622.46,37850,35844.06,35891.49
1253,2021-01-20 03:00:00.000,35901.94,36415.31,33400,35468.23
1254,2021-01-21 03:00:00.000,35468.23,35600,30071,30850.13
1255,2021-01-22 03:00:00.000,30851.99,33826.53,28850,32945.17
1256,2021-01-23 03:00:00.000,32950,33456,31390.16,32078
